ISSN	Título	Estrato	Classificação
1472-6750	BMC BIOTECHNOLOGY (ONLINE)	A3	Atualizado
1472-6882	BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE (ONLINE)	A1	Atualizado
1471-213X	BMC DEVELOPMENTAL BIOLOGY (ONLINE)	A4	Atualizado
1471-2164	BMC GENOMICS	A2	Atualizado
1741-7015	BMC MEDICINE	A1	Atualizado
1471-2202	BMC NEUROSCIENCE (ONLINE)	A4	Atualizado
1471-2458	BMC PUBLIC HEALTH (ONLINE)	A1	Atualizado
1471-2466	BMC PULMONARY MEDICINE (ONLINE)	A4	Atualizado
1982-2170	BOLETIM DE CIÊNCIAS GEODÉSICAS (ONLINE)	A4	Atualizado
2317-5206	BOLETIM DO MUSEU INTEGRADO DE RORAIMA (ONLINE)	B1	Atualizado
2178-2547	BOLETIM DO MUSEU PARAENSE EMÍLIO GOELDI. SÉRIE CIÊNCIAS HUMANAS	A1	Atualizado
2176-2988	BOLETIM GEPEM (ONLINE)	A4	Atualizado
2237-7387	BOLETIM INFORMATIVO GEUM	B4	Atualizado
0366-3175	BOLETÍN DE LA SOCIEDAD ESPAÑOLA DE CERÁMICA Y VIDRIO	A3	Atualizado
0214-2813	BOLETÍN DE LA SOCIEDAD ESPAÑOLA DE HIDROLOGÍA MÉDICA	B3	Atualizado
0304-8799	BOSQUE (VALDIVIA. IMPRESA)	B1	Atualizado
0024-4074	BOTANICAL JOURNAL OF THE LINNEAN SOCIETY (PRINT)	A1	Atualizado
0006-8314	BOUNDARY - LAYER METEOROLOGY	A2	Atualizado
1573-1472	BOUNDARY-LAYER METEOROLOGY (DORDRECHT. ONLINE)	A2	Atualizado
0006-8705	BRAGANTIA (SÃO PAULO, SP. IMPRESSO)	A3	Atualizado
0361-9230	BRAIN RESEARCH BULLETIN	A3	Atualizado
2595-3621	BRAZILIAN APPLIED SCIENCE REVIEW	C	Atualizado
1678-4324	BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY (ONLINE)	A4	Atualizado
1806-4760	BRAZILIAN DENTAL JOURNAL	A2	Atualizado
2178-6011	BRAZILIAN DENTAL SCIENCE	B1	Atualizado
2595-573X	BRAZILIAN JOURNAL OF ANIMAL AND ENVIRONMENTAL RESEARCH	B4	Atualizado
2596-1934	BRAZILIAN JOURNAL OF BUSINESS	C	Atualizado
0104-6632	BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING (IMPRESSO)	A3	Atualizado
2525-8761	BRAZILIAN JOURNAL OF DEVELOPMENT	C	Atualizado
0100-350X	BRAZILIAN JOURNAL OF FOOD TECHNOLOGY	B2	Atualizado
1809-4511	BRAZILIAN JOURNAL OF GEOPHYSICS	B2	Atualizado
2318-4531	BRAZILIAN JOURNAL OF INSTRUMENTATION AND CONTROL ( REVISTA BRASILEIRA DE INSTRUMENTAÇÃO E CONTROLE)	B4	Atualizado
1517-8382	BRAZILIAN JOURNAL OF MICROBIOLOGY	A2	Atualizado
1678-4405	BRAZILIAN JOURNAL OF MICROBIOLOGY (ONLINE)	A2	Atualizado
1677-3225	BRAZILIAN JOURNAL OF ORAL SCIENCES (ONLINE)	B1	Atualizado
1678-4448	BRAZILIAN JOURNAL OF PHYSICS	A3	Atualizado
0103-9733	BRAZILIAN JOURNAL OF PHYSICS (IMPRESSO)	A3	Atualizado
2319-0612	BRAZILIAN JOURNAL OF RADIATION SCIENCES	B1	Atualizado
2317-4404	BRAZILIAN JOURNAL OF SURGERY AND CLINICAL RESEARCH	B3	Atualizado
1807-3107	BRAZILIAN ORAL RESEARCH	A2	Atualizado
0007-1145	BRITISH JOURNAL OF NUTRITION	A1	Atualizado
0250-4707	BULLETIN OF MATERIALS SCIENCE	A4	Atualizado
0003-0007	BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	A1	Atualizado
0009-2673	BULLETIN OF THE CHEMICAL SOCIETY OF JAPAN	A2	Atualizado
0007-6287	BURLINGTON MAGAZINE	B1	Atualizado
2311-5629	C. JOURNAL OF CARBON RESEARCH	B3	Atualizado
1677-2334	CADERNO BRASILEIRO DE ENSINO DE FÍSICA	A1	Atualizado
2175-7941	CADERNO BRASILEIRO DE ENSINO DE FÍSICA	A1	Atualizado
1809-1466	CADERNO DE FÍSICA DA UEFS	B1	Atualizado
2178-9770	CADERNOS CIMEAC	B1	Atualizado
2675-4754	CADERNOS DE ASTRONOMIA	C	Atualizado
1980-5861	CADERNOS DE CULTURA E CIÊNCIA (URCA)	C	Atualizado
2316-9907	CADERNOS DE EDUCAÇÃO, TECNOLOGIA E SOCIEDADE	A4	Atualizado
2674-5704	CADERNOS DE GÊNERO E TECNOLOGIA	B3	Atualizado
2317-0026	CADERNOS DE PROSPECÇÃO	B2	Atualizado
1678-4464	CADERNOS DE SAÚDE PÚBLICA	A1	Atualizado
